,temperature,humidity,pressure,pm10H,pm25H,pm10mean,pm25mean,140,142,147,169,170,171,172,173,174,176,177,179,180,181,182,183,184,185,187,189,192,194,195,196,201,202,204,205,208,209,210,211,212,213,214,215,216,218,219,220,221,222,223,225,226,227,228,263,3,622,713,808,857,895
174488,-0.06613481316139085,0.30111998345559726,0.4593668325253808,3.7904620416979626,3.6815446575143693,0.21092822397531155,0.2686878912139697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
